,Date,Open,High,Low,Close,Volume,Turnover,AnnualVolatility365,AnnualVolatility254,logreturns
59,2017-03-29,21291.45,21418.6,21255.75,21391.15,119195883,38227300000.0,12.929681921,10.7859466333,0.00777870736932
60,2017-03-30,21374.35,21696.0,21331.9,21620.7,111132480,43101000000.0,13.6175077766,11.3597312798,0.0106739040253
61,2017-03-31,21551.85,21574.15,21414.0,21444.15,103206746,30060800000.0,14.7223034327,12.2813523266,-0.00819930821078
62,2017-04-03,21539.2,21565.45,21408.6,21547.75,61067763,19066100000.0,15.6406701776,13.0474542896,0.0048195218417
63,2017-04-05,21602.2,21699.3,21499.75,21652.7,84599454,26878800000.0,15.480440529,12.9137906427,0.00485875524293
64,2017-04-06,21572.7,21674.0,21488.9,21622.95,93689427,30460900000.0,14.9295203972,12.4542128142,-0.00137490735259
65,2017-04-07,21536.5,21616.85,21397.0,21431.15,96285404,22491700000.0,11.9618275991,9.97856211064,-0.0089097795017
66,2017-04-10,21492.05,21552.1,21396.05,21520.15,57491405,18997500000.0,14.1790092278,11.8281360499,0.00414423439471
67,2017-04-11,21521.45,21753.35,21483.55,21736.15,89433764,25730000000.0,13.1346970977,10.9569703884,0.00998706756446
68,2017-04-12,21735.65,21787.1,21551.75,21666.8,78966353,22622000000.0,13.50060739,11.2622129233,-0.00319563803923
69,2017-04-13,21651.25,21758.85,21627.0,21686.6,71469667,21036800000.0,13.5772786247,11.3261721027,0.000913423232165
70,2017-04-17,21700.5,21743.3,21576.75,21647.6,49031440,16137000000.0,13.026562818,10.8667647222,-0.00179996448669
71,2017-04-18,21706.05,21947.0,21634.15,21671.85,85174794,25190300000.0,11.5051213328,9.59757753228,0.00111958958542
72,2017-04-19,21674.1,21706.3,21470.2,21556.35,81449296,29822300000.0,10.0573083466,8.38981127019,-0.00534374666758
73,2017-04-20,21419.45,21558.85,21396.0,21491.4,100132829,40725800000.0,10.3840356377,8.6623673274,-0.00301758160578
